あの	adjective あの that ～ (away from)	
この	adjective この this ～ (near me/us)	
その	adjective その that ～ (near you)	
どちら	interrogative word どちら which way? / which side?	
どの	interrogative word どの which ～? [always followed by a noun]	
なにいろ	interrogative word なにいろ what color?	
あお	noun あお blue	
あか	noun あか red	
きいろ	noun きいろ yellow	
きょねん	noun きょねん last year	
くるま	noun くるま car	
くろ	noun くろ black	
しろ	noun しろ white	
ちゃいろ	noun ちゃいろ brown	
はいいろ	noun はいいろ gray	
みどり	noun みどり green	
グリーン	noun グリーン green [=みどり]	
グレー	noun グレー gray [=はいいろ]	
Ｔシャツ	noun Ｔシャツ T-shirt	
わかりました	verb わかりました [past of わかります] understood	
あおい	い-adjective	blue
あかい	い-adjective	red
うるさい	い-adjective	noisy[oppositeofしずか]
きいろい	い-adjective	yellow
きたない	い-adjective	dirty[oppositeofきれい]
くろい	い-adjective	black
しろい	い-adjective	white
ちゃいろい	い-adjective	brown
せが	adjectival phrase せが たかい tall (for person’s height)	
いちばん	adverb いちばん number one [Creates a superative ('the most ... ') if used in front of an adjective; いちばんせがたかい: the tallest]	
どこ	interrogative word どこ where	
なにがくぶ	interrogative word なにがくぶ what academic department?	
あそこ	noun あそこ (that place) over there [away from us]	
えき	noun えき train station	
おふろ	noun おふろ bath	
がくせいかいかん	noun がくせいかいかん student center; student union	
ぎんこう	noun ぎんこう bank	
けいざいがくぶ	noun けいざいがくぶ Economics Department	
けんきゅうしつ	noun けんきゅうしつ professor's office	
げんかん	noun げんかん entrance area to a house	
こうがくぶ	noun こうがくぶ Engineering Department	
ここ	noun ここ here	
そこ	noun そこ over there [near you]	
たてもの	noun たてもの building	
としょかん	noun としょかん library	
にわ	noun にわ yard, garden	
びょういん	noun びょういん hospital	
ほうがくぶ	noun ほうがくぶ Law Department	
ゆうびんきょく	noun ゆうびんきょく post office	
りょう	noun りょう dormitory	
カフェテリア	noun カフェテリア cafeteria	
キッチン	noun キッチン kitchen	
キャンパス	noun キャンパス campus	
スーパー	noun スーパー supermarket	
デパート	noun デパート department store	
トイレ	noun トイレ restroom (same as おてあらい)	
バス	noun バス bus	
ラボ	noun ラボ laboratory	
あちら	noun あちら that way; that side	
うえ	noun うえ above, top; on top	
うしろ	noun うしろ back (side)	
きんじょ	noun きんじょ neighborhood	
こうえん	noun こうえん park	
こちら	noun こちら this way; this side (of X)	
した	noun した below, under; bottom; lower side	
そちら	noun そちら that way (toward you); your side	
そと	noun そと outside	
そば	noun そば nearby place, vicinity	
ちかく	noun ちかく nearby place, vicinity	
となり	noun となり next door; next to (Ｘのとなり: next to X; Note that in the sentence 'ＹはＸのとなりにあります' or ‘ＹはＸのとなりです,’ Xand Y have to be similar types of objects, e.g. a desk and a table (furniture), a house/shop and a office building (buildings).  If X and Y are different types of objects, useよこ.  Therefore, you can say, ほんだなはつくえのとなりにあります, but not かばんはつくえのとなりにあります.  Instead, you should say, かばんはつくえのよこにあります.)	
なか	noun なか inside	
にかい	noun にかい second floor	
ひだり	noun ひだり left (side)	
ほう	noun ほう way, direction [always preceded by a modifier, e.g. みぎのほう, そちらのほう]	
ほんや	noun ほんや bookstore noun マイク Mike [first name]	
まえ	noun まえ front (side)	
みぎ	noun みぎ right (side)	
むこう	noun むこう over there, beyond, the other side; far side noun やまだせんせい（山田せんせい） Prof. Yamada	
よこ	noun よこ the side (of X)	
コンビニ	noun コンビニ convenience store	
スタジアム	noun スタジアム stadium	
ホテル	noun ホテル hotel	
マクドナルド	noun マクドナルド McDonald's; McDonald [family name]	
あります	verb あります [inanimate object] is located; there is/are; have	
います	verb います [animate object] is located	
すんでいます	verb すんでいます lives [～にすんでいます: to live in ～]	
どっち	interrogative word どっち which way? / which side? [=どちら; more informal and casual than どちら]	
どなた	interrogative word どなた who? (polite)	
あのう	misc. あのう umm..., well...	
あっち	noun あっち that way; that side [= あちら; more informal and casual than あちら]	
おてあらい	noun おてあらい restroom (no bath)	
おふろば	noun おふろば bathroom (i.e. where you take a bath)	
かいしゃ	noun かいしゃ company	
かた	noun かた person [polite] [always preceded by a modifier, e.g. あのかた, おんなのかた]	
きゅうきゅうしゃ	noun きゅうきゅうしゃ ambulance car	
きょうようがくぶ	noun きょうようがくぶ Liberal Arts Department	
こうばん	noun こうばん police station, police box	
こっち	noun こっち this way; this side (of X)　[=こちら; more informal and casual than こちら]	
ごみばこ	noun ごみばこ waste basket, trash can	
しょくどう	noun しょくどう dining hall	
じむしつ	noun じむしつ administrative office; work room	
そっち	noun そっち that way (toward you); your side [= そちら; more informal and casual than そちら]	
たいいくかん	noun たいいくかん gym	
だいどころ	noun だいどころ kitchen	
てまえ	noun てまえ near side	
ひこうせん	noun ひこうせん blimp	
みせ	noun みせ store, shop	
みち	noun みち road, street, direction	
ろうか	noun ろうか hallway	
オフィス	noun オフィス office	
テキスト	noun テキスト textbook	
バスてい	noun バスてい bus stop	
ビル	noun ビル (large concrete office) building noun ひろこ Hiroko [women's first name]	
が	particle が [subject marker]	
に	particle に [location marker when used with existence verbs あります and います]	